method,seed,stress_level,robust_success,failure_macro_f1,rare_failure_recall,tail_risk,calibration_error,safety_violation_rate
hybrid_diversity_risk,1,0.40,0.40000,0.10536,0.00000,0.60000,0.36128,0.30000
failure_stratified_engine,1,0.40,0.40000,0.09609,0.00000,0.60000,0.37082,0.30000
failure_stratified_engine_v5,1,0.40,0.40000,0.10536,0.00000,0.60000,0.36574,0.30000
oracle_failure_strata,1,0.40,0.40000,0.09489,0.01538,0.60000,0.36381,0.30000
uncertainty_sampling,2,0.40,0.50000,0.11782,0.00000,0.50000,0.33687,0.40000
failure_prediction_active_learning,2,0.40,0.50000,0.10206,0.00000,0.50000,0.36002,0.40000
calibrated_failure_risk,2,0.40,0.50000,0.12102,0.01333,0.50000,0.35871,0.40000
hybrid_diversity_risk,2,0.40,0.50000,0.14083,0.01333,0.50000,0.32892,0.40000
failure_stratified_engine,2,0.40,0.50000,0.12699,0.01333,0.50000,0.33299,0.40000
failure_stratified_engine_v5,2,0.40,0.50000,0.11633,0.00000,0.50000,0.36951,0.40000
oracle_failure_strata,2,0.40,0.50000,0.15573,0.06667,0.50000,0.30193,0.40000
uncertainty_sampling,3,0.40,0.20000,0.12424,0.00000,0.80000,0.36866,0.70000
failure_prediction_active_learning,3,0.40,0.20000,0.10254,0.00000,0.80000,0.50703,0.70000
calibrated_failure_risk,3,0.40,0.20000,0.08663,0.00000,0.80000,0.50757,0.70000
hybrid_diversity_risk,3,0.40,0.20000,0.12171,0.01667,0.80000,0.45375,0.70000
failure_stratified_engine,3,0.40,0.20000,0.10431,0.00000,0.80000,0.44955,0.70000
failure_stratified_engine_v5,3,0.40,0.20000,0.11190,0.00000,0.80000,0.46384,0.70000
oracle_failure_strata,3,0.40,0.20000,0.12126,0.01667,0.80000,0.42240,0.70000
uncertainty_sampling,4,0.40,0.80000,0.11250,0.00000,0.20000,0.18430,0.20000
failure_prediction_active_learning,4,0.40,0.80000,0.10272,0.00000,0.20000,0.11873,0.20000
calibrated_failure_risk,4,0.40,0.80000,0.10893,0.00000,0.20000,0.11760,0.20000
hybrid_diversity_risk,4,0.40,0.80000,0.12863,0.02222,0.20000,0.11385,0.20000
failure_stratified_engine,4,0.40,0.80000,0.09519,0.00000,0.20000,0.13614,0.20000
failure_stratified_engine_v5,4,0.40,0.80000,0.13269,0.02222,0.20000,0.13140,0.20000
oracle_failure_strata,4,0.40,0.80000,0.10172,0.03333,0.20000,0.17984,0.20000
uncertainty_sampling,5,0.40,0.60000,0.11949,0.00000,0.40000,0.31205,0.20000
